승차일자,시/도,시/군/구,동/읍/면,승차건수
2018-07-18,서울특별시,노원구,하계1동,91
2018-07-18,서울특별시,노원구,상계6.7동,86
2018-07-18,서울특별시,은평구,역촌동,79
2018-07-18,서울특별시,서대문구,신촌동,77
2018-07-18,서울특별시,마포구,성산제2동,62
2018-07-18,서울특별시,강북구,인수동,56
2018-07-18,서울특별시,종로구,이화동,45
2018-07-18,서울특별시,중랑구,신내1동,45
2018-07-18,서울특별시,마포구,상암동,43
2018-07-18,서울특별시,강서구,방화제1동,42
2018-07-18,서울특별시,영등포구,영등포동,41
2018-07-18,서울특별시,서대문구,연희동,40
2018-07-18,서울특별시,광진구,구의제2동,36
2018-07-18,서울특별시,송파구,풍납2동,36
2018-07-18,서울특별시,관악구,보라매동,34
2018-07-18,서울특별시,도봉구,도봉제2동,34
2018-07-18,서울특별시,영등포구,여의동,34
2018-07-18,서울특별시,노원구,중계2.3동,33
2018-07-18,서울특별시,동작구,신대방제2동,33
2018-07-18,서울특별시,강동구,길동,30
2018-07-18,서울특별시,강동구,고덕제1동,29
2018-07-18,서울특별시,강동구,상일동,29
2018-07-18,서울특별시,동대문구,휘경제2동,29
2018-07-18,서울특별시,양천구,신정3동,28
2018-07-18,서울특별시,은평구,구산동,28
2018-07-18,서울특별시,강서구,등촌제3동,26
2018-07-18,서울특별시,구로구,구로제5동,26
2018-07-18,서울특별시,중랑구,면목제3.8동,26
2018-07-18,서울특별시,종로구,종로1.2.3.4가동,24
2018-07-18,서울특별시,노원구,월계2동,23
2018-07-18,서울특별시,강동구,둔촌제2동,22
2018-07-18,서울특별시,서대문구,홍은제2동,22
2018-07-18,서울특별시,양천구,신정6동,22
2018-07-18,서울특별시,서초구,양재1동,21
2018-07-18,서울특별시,강서구,가양제2동,20
2018-07-18,서울특별시,성동구,왕십리도선동,20
2018-07-18,서울특별시,송파구,오금동,20
2018-07-18,서울특별시,구로구,오류제2동,19
2018-07-18,서울특별시,성북구,길음제1동,19
2018-07-18,서울특별시,양천구,목1동,19
2018-07-18,서울특별시,강남구,세곡동,18
2018-07-18,서울특별시,구로구,구로제2동,18
2018-07-18,서울특별시,동대문구,전농제2동,18
2018-07-18,서울특별시,마포구,성산제1동,18
2018-07-18,서울특별시,송파구,장지동,18
2018-07-18,서울특별시,강동구,천호제2동,17
2018-07-18,서울특별시,강북구,번제2동,17
2018-07-18,서울특별시,강북구,번제3동,17
2018-07-18,서울특별시,노원구,월계1동,17
2018-07-18,서울특별시,양천구,목5동,17
2018-07-18,서울특별시,은평구,진관동,17
2018-07-18,서울특별시,강남구,일원1동,16
2018-07-18,서울특별시,강동구,강일동,16
2018-07-18,서울특별시,마포구,대흥동,16
2018-07-18,서울특별시,마포구,망원제1동,16
2018-07-18,서울특별시,마포구,서교동,16
2018-07-18,서울특별시,서초구,서초1동,16
2018-07-18,서울특별시,영등포구,대림제3동,16
2018-07-18,서울특별시,종로구,청운효자동,16
2018-07-18,서울특별시,중랑구,상봉제1동,16
2018-07-18,서울특별시,강남구,도곡1동,15
2018-07-18,서울특별시,노원구,상계2동,15
2018-07-18,서울특별시,동작구,흑석동,15
2018-07-18,서울특별시,서초구,반포4동,15
2018-07-18,서울특별시,성북구,종암동,15
2018-07-18,서울특별시,양천구,신정4동,15
2018-07-18,서울특별시,중랑구,망우본동,15
2018-07-18,서울특별시,강북구,삼각산동,14
2018-07-18,서울특별시,금천구,독산제1동,14
2018-07-18,서울특별시,노원구,상계3.4동,14
2018-07-18,서울특별시,노원구,월계3동,14
2018-07-18,서울특별시,동대문구,회기동,14
2018-07-18,서울특별시,성북구,안암동,14
2018-07-18,서울특별시,강북구,수유제3동,13
2018-07-18,서울특별시,구로구,구로제3동,13
2018-07-18,서울특별시,노원구,공릉1.3동,13
2018-07-18,서울특별시,마포구,공덕동,13
2018-07-18,서울특별시,성동구,마장동,13
2018-07-18,서울특별시,영등포구,당산제1동,13
2018-07-18,서울특별시,강서구,방화제3동,12
2018-07-18,서울특별시,강서구,우장산동,12
2018-07-18,서울특별시,구로구,개봉제1동,12
2018-07-18,서울특별시,도봉구,창제1동,12
2018-07-18,서울특별시,도봉구,창제4동,12
2018-07-18,서울특별시,동대문구,신설동,12
2018-07-18,서울특별시,서대문구,북가좌제2동,12
2018-07-18,서울특별시,성북구,월곡제2동,12
2018-07-18,서울특별시,송파구,거여2동,12
2018-07-18,서울특별시,송파구,문정2동,12
2018-07-18,서울특별시,종로구,사직동,12
2018-07-18,서울특별시,강남구,수서동,11
2018-07-18,서울특별시,강남구,역삼1동,11
2018-07-18,서울특별시,강남구,일원본동,11
2018-07-18,서울특별시,강서구,방화제2동,11
2018-07-18,서울특별시,노원구,상계1동,11
2018-07-18,서울특별시,노원구,중계4동,11
2018-07-18,서울특별시,도봉구,쌍문제3동,11
2018-07-18,서울특별시,동작구,대방동,11
2018-07-18,서울특별시,서대문구,홍제제2동,11
2018-07-18,서울특별시,은평구,응암제2동,11
